DimReduction,Clustering,DR_TrainTime_s,Clust_Time_s,N_Clusters_found,CalinskiHarabasz,DaviesBouldin,Silhouette,AdjRandIndex
Raw,MiniBatchKMeans,0.0,0.026,10,63.57026438528751,1.9677729006404303,0.13570930063724518,0.350812715492718
Raw,DBSCAN,0.0,0.002,2,10.261332880651372,1.0130399842029967,0.20651523768901825,0.001325687176283452
Raw,AgglomerativeClustering,0.0,0.003,10,80.70186780693051,1.6722712174563346,0.1646384596824646,0.35470011460129897
Raw,GaussianMixture,0.0,0.004,10,83.64045297763468,1.7926411816982035,0.17962026596069336,0.32914468971430993
Raw,Birch,0.0,0.011,10,80.70186780693051,1.6722712174563346,0.1646384596824646,0.35470011460129897
PCA,MiniBatchKMeans,0.065,0.008,10,86.33953486325133,1.721757814761943,0.17929312586784363,0.33877447786371123
PCA,DBSCAN,0.065,0.002,2,10.289951067020802,0.991081647719098,0.20327109098434448,0.0011230345771585017
PCA,AgglomerativeClustering,0.065,0.003,10,82.32653845589341,1.6554634521240725,0.1706446260213852,0.3322798089807736
PCA,GaussianMixture,0.065,0.004,10,89.1154325424079,1.7417589218832632,0.17803066968917847,0.36014593237621906
PCA,Birch,0.065,0.011,10,82.32653845589341,1.6554634521240725,0.1706446260213852,0.3322798089807736
SAE,MiniBatchKMeans,6.004,0.006,10,179.7694321760301,1.6745624754346349,0.18083685636520386,0.3629524916720412
SAE,DBSCAN,6.004,0.002,3,355.0895257016108,0.7938836178679387,0.35162392258644104,0.14745280630639754
SAE,AgglomerativeClustering,6.004,0.003,10,172.94078713386102,1.72000344442286,0.15909363329410553,0.35546349834359064
SAE,GaussianMixture,6.004,0.008,10,179.9583905552304,1.8036686137991063,0.18439999222755432,0.36376221580341583
SAE,Birch,6.004,0.008,10,172.94078713386102,1.72000344442286,0.15909363329410553,0.35546349834359064
CNN-SAE,MiniBatchKMeans,39.167,0.007,10,102.55429479454287,1.5204635653834022,0.2174101620912552,0.3634252486411865
CNN-SAE,DBSCAN,39.167,0.002,1,,,,
CNN-SAE,AgglomerativeClustering,39.167,0.003,10,100.87144666203763,1.5565992072298243,0.22224575281143188,0.3998370982961793
CNN-SAE,GaussianMixture,39.167,0.011,10,102.9739214875309,1.5195456938071423,0.21479375660419464,0.4133244918321153
CNN-SAE,Birch,39.167,0.009,10,100.87144666203763,1.5565992072298243,0.22224575281143188,0.3998370982961793
t-SNE,MiniBatchKMeans,0.597,0.007,10,1043.5053137457562,0.756054899796881,0.44553342461586,0.3978707844336051
t-SNE,DBSCAN,0.597,0.015,10,287.31301705423806,1.7313203601981122,0.12685735523700714,0.28342213348000383
t-SNE,AgglomerativeClustering,0.597,0.002,10,888.1525412893554,0.803816847020328,0.4049888551235199,0.38154000527326243
t-SNE,GaussianMixture,0.597,0.006,10,903.3817759057372,0.727929429366997,0.4472704529762268,0.38622410167121335
t-SNE,Birch,0.597,0.008,10,990.8348526240852,0.7284091713964959,0.446209192276001,0.4040246491548746
UMAP,MiniBatchKMeans,55.018,0.007,10,1088.8723419336502,0.735917613394909,0.5046142339706421,0.4987281477905656
UMAP,DBSCAN,55.018,0.001,8,602.9721413010348,0.8318530992114275,0.47441366314888,0.43142509005815405
UMAP,AgglomerativeClustering,55.018,0.002,10,999.827513482362,0.7665774873235935,0.4799128472805023,0.4765878811587629
UMAP,GaussianMixture,55.018,0.01,10,1029.8948470287821,0.8137275390303996,0.46724629402160645,0.48917236420166044
UMAP,Birch,55.018,0.004,10,982.1855498756034,0.7314304394632969,0.4663853049278259,0.4648163672385526
